lon_g,lat_g
126.5929648,33.55527638
126.5628141,33.55527638
126.5025126,33.52261307
126.4723618,33.52261307
126.4422111,33.52261307
126.4120603,33.52261307
126.3819095,33.48994975
126.3517588,33.48994975
126.321608,33.48994975
126.2914573,33.45728643
126.2613065,33.42462312
126.2311558,33.42462312
126.201005,33.3919598
126.1708543,33.35929648
126.1407035,33.32663317
126.1407035,33.29396985
126.1708543,33.26130653
126.2311558,33.22864322
126.2613065,33.1959799
126.2914573,33.1959799
126.321608,33.1959799
126.4422111,33.22864322
126.5025126,33.22864322
126.5628141,33.22864322
126.5929648,33.22864322
126.6231156,33.22864322
126.6532663,33.22864322
126.6532663,33.26130653
126.6834171,33.26130653
126.7135678,33.26130653
126.7738693,33.29396985
126.8040201,33.29396985
126.8341709,33.29396985
126.8643216,33.29396985
126.8643216,33.32663317
126.8944724,33.35929648
126.9246231,33.35929648
126.9246231,33.3919598
126.9246231,33.42462312
126.9246231,33.45728643
126.9246231,33.48994975
126.9246231,33.52261307
126.8944724,33.55527638
126.8643216,33.55527638
126.8341709,33.55527638
126.8040201,33.5879397
126.7738693,33.5879397
126.7437186,33.5879397
126.7135678,33.5879397
126.6834171,33.5879397
126.6834171,33.55527638
126.6532663,33.55527638
126.6231156,33.55527638
